event_id,origin_id,stage,parent_origin_id,time,lat,lon,depth,mag,magnitude_type,rms,gap,n_picks,erh,erz,method
eslv2026nv2yxek3,ohdd2026wg3l3jfw,hypodd,ohyp2026fempezbv,2024-01-26T08:13:44.670000Z,13.782415,-89.422192,12.759,1.7204,MLc,0.237,141,14,0.3514,0.4521,
eslv2026gi2iewlz,ohdd2026qhf6mhbz,hypodd,ohyp2026hd772v4l,2024-01-26T09:52:29.760000Z,13.908201,-89.749569,11.615,0.2355,MLc,0.497,189,7,0.0786,0.0782,
eslv2026ox542bnn,ohdd202635nfo6up,hypodd,ohyp2026jfhjxn6b,2024-01-26T11:44:39.509999Z,13.885314,-89.753174,6.56,2.177,MLc,0.146,173,16,0.021,0.0199,
eslv2026o2xwppdg,ohdd2026guzotn7z,hypodd,ohyp20266n2ve3rb,2024-01-26T11:44:53.030000Z,13.885752,-89.745386,7.561,3.5695,MLc,0.298,132,20,0.027,0.0346,
eslv2026gpu6jglx,ohdd2026arlc7lk5,hypodd,ohyp202667p7rcmr,2024-01-26T11:46:06.070000Z,13.884207,-89.7521,5.717,2.3281,MLc,0.152,180,16,0.0236,0.0176,
eslv2026o4ryfica,ohdd2026v7pqyzjb,hypodd,ohyp2026i7cujqrb,2024-01-26T11:46:45.229999Z,13.804992,-89.737712,3.012,1.8332,MLc,0.016,175,11,0.044,0.0538,
eslv2026cbkntrqw,ohdd2026of3cd7i7,hypodd,ohyp2026vpc5grh2,2024-01-26T11:47:46.280000Z,13.882093,-89.740519,7.214,2.1557,MLc,0.211,107,16,0.0247,0.0336,
eslv2026n5k7hr2n,ohdd2026hkuexoc6,hypodd,ohyp2026a5rtqqks,2024-01-26T11:49:44.429999Z,13.889013,-89.742993,7.318,2.6327,MLc,0.204,155,17,0.0296,0.0315,
eslv2026hnglhi2y,ohdd2026jthpwc4a,hypodd,ohyp2026kbtjdmza,2024-01-26T11:52:01.889999Z,13.879459,-89.758936,5.548,1.0787,MLc,0.247,211,10,0.0311,0.0314,
eslv20264tcazpk5,ohdd2026nny6aqne,hypodd,ohyp202654gn35nh,2024-01-26T11:54:38.909999Z,13.884443,-89.75262,5.937,2.1,MLc,0.145,170,18,0.0228,0.032,
eslv2026t6ovrnjz,ohdd2026iathlu6o,hypodd,ohyp2026uz3dg4ic,2024-01-26T11:58:00.950000Z,13.823711,-89.723674,5.92,0.8415,MLc,0.125,183,6,0.047,0.0761,
eslv2026ijkku46c,ohdd2026ukleyiu6,hypodd,ohyp2026apnlt34h,2024-01-26T12:04:13.339999Z,13.919224,-89.722567,5.196,1.3031,MLc,0.296,265,6,0.038,0.0713,
eslv2026wytps34e,ohdd20264nmvidb5,hypodd,ohyp2026vjnefybj,2024-01-26T12:06:48.000000Z,13.885764,-89.753589,6.866,1.4221,MLc,0.172,164,12,0.022,0.0198,
eslv2026fjz44hi6,ohdd2026lfqkjsj3,hypodd,ohyp202626n3otkx,2024-01-26T12:15:08.289999Z,13.880767,-89.75485,5.683,1.6303,MLc,0.162,167,16,0.028,0.0354,
eslv2026gvnphhdq,ohdd20265ljfjqoi,hypodd,ohyp2026fzukagaw,2024-01-26T12:43:18.359999Z,13.879066,-89.751408,6.623,1.7738,MLc,0.246,199,13,0.0204,0.0194,
eslv2026inxtuxfg,ohdd2026cngnoih6,hypodd,ohyp2026agnkjyvb,2024-01-26T12:44:28.440000Z,13.869837,-89.759001,4.249,1.1489,MLc,0.157,202,10,0.0241,0.0157,
